participant,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
GDN0005,Pause,133.16129032258064,133.11475409836066,0.26229508196721313,13.704918032786885,10.631305707011267,0.5118816160344299,62,61,1
GDN0005,Valsalva,132.76190476190476,127.0,6.774193548387097,15.225806451612904,10.901343592315317,0.17344413029215172,63,62,1
GDN0005,HoldingBreath,128.47761194029852,135.75757575757575,-6.757575757575758,13.787878787878787,11.301699685752576,0.3679932815042239,67,66,1
GDN0005,TiltUp,161.82051282051282,185.27272727272728,-23.558441558441558,24.961038961038962,16.957663790222878,0.5098349279807587,78,77,1
GDN0005,TiltLevel,116.63333333333334,118.0,-1.8644067796610169,28.508474576271187,32.365871231772545,0.0581927322838287,60,59,1
GDN0006,Pause,161.14814814814815,171.07692307692307,-9.807692307692308,9.884615384615385,6.46570979915004,0.29249017199102406,54,52,2
GDN0006,Valsalva,154.77777777777777,168.67924528301887,-13.849056603773585,15.283018867924529,10.778890732787266,0.22793050516269597,54,53,1
GDN0006,TiltUp,189.75,196.38095238095238,-6.634920634920635,6.634920634920635,3.6482734543365707,0.38190227787035674,64,63,1
GDN0006,TiltLevel,147.2,161.66666666666666,-14.592592592592593,14.666666666666666,11.551874662431166,0.48679367617694985,55,54,1
GDN0007,Pause,129.03225806451613,80.45901639344262,48.295081967213115,55.90163934426229,39.09874925723991,-0.2011052976326381,62,61,1
GDN0007,Valsalva,135.17241379310346,81.33333333333333,54.56140350877193,68.10526315789474,48.61045175461606,0.08312617938094305,58,57,1
GDN0007,HoldingBreath,136.4,97.92592592592592,38.111111111111114,57.51851851851852,40.898224068546796,-0.22467053880411303,55,54,1
GDN0007,TiltUp,157.25714285714287,164.02898550724638,-7.043478260869565,11.159420289855072,7.344997306966269,0.13814160582767537,70,69,1
GDN0007,TiltLevel,129.55172413793105,85.47368421052632,43.473684210526315,58.07017543859649,42.53392964567691,-0.11328349716750526,58,57,1
GDN0008,Pause,158.92857142857142,167.8909090909091,-8.909090909090908,9.854545454545455,6.331191525947666,0.510368043568317,56,55,1
GDN0008,Valsalva,162.7719298245614,172.85714285714286,-10.071428571428571,10.357142857142858,6.814229306864233,0.303177446192677,57,56,1
GDN0008,HoldingBreath,174.85294117647058,188.0,-22.823529411764707,22.823529411764707,13.896264595624494,0.6053276361588619,68,17,51
GDN0008,TiltUp,184.97058823529412,193.5438596491228,-11.43859649122807,20.771929824561404,12.157328735087905,0.37852347437924155,68,57,11
GDN0008,TiltLevel,172.92307692307693,176.54901960784315,-3.843137254901961,5.333333333333333,3.2103996112795703,0.7078640506421199,52,51,1
GDN0009,Pause,145.60714285714286,205.78571428571428,-66.28571428571429,66.28571428571429,48.52554718726196,0.115528815365466,56,28,28
GDN0009,Valsalva,142.03703703703704,157.77272727272728,-18.40909090909091,56.31818181818182,40.752769413981305,0.16705971858649324,54,44,10
GDN0009,TiltUp,153.0,197.0,-52.75,57.083333333333336,42.605234682192126,-0.042299101334742135,80,24,56
GDN0009,TiltLevel,147.28,196.66666666666666,-51.733333333333334,52.266666666666666,36.19227149739895,0.4905284487159255,50,30,20
GDN0010,Pause,114.31818181818181,116.88372093023256,-1.627906976744186,10.0,8.871940894068354,0.5888272405150538,44,43,1
GDN0010,HoldingBreath,113.27659574468085,131.04347826086956,-17.608695652173914,19.608695652173914,23.81430821546353,0.5510853359332804,47,46,1
GDN0010,TiltUp,136.35555555555555,142.5581395348837,-6.1395348837209305,18.325581395348838,14.452376663918697,0.5217613107849359,45,43,2
GDN0010,TiltLevel,106.52380952380952,118.0,-11.512195121951219,16.195121951219512,18.765108539900215,0.609293411114829,42,41,1
GDN0011,Pause,132.59649122807016,142.03571428571428,-9.785714285714286,10.928571428571429,9.366412619622206,0.564535204883587,57,56,1
GDN0011,Valsalva,118.09375,125.01587301587301,-6.5396825396825395,17.396825396825395,18.720488067930255,0.3822413541873329,64,63,1
GDN0011,HoldingBreath,133.42028985507247,141.35294117647058,-7.9411764705882355,17.352941176470587,18.947964077467997,0.13879395039288603,69,68,1
GDN0011,TiltUp,149.72093023255815,154.14117647058825,-4.352941176470588,5.623529411764705,3.8001921954220474,0.6531241879556624,86,85,1
GDN0011,TiltLevel,121.19298245614036,129.67857142857142,-8.607142857142858,14.321428571428571,11.920656140116604,0.44471610018219554,57,56,1
GDN0012,Pause,113.77777777777777,116.96774193548387,-3.5483870967741935,11.290322580645162,16.88631366041131,0.4750076820151013,63,62,1
GDN0012,Valsalva,126.53731343283582,129.89830508474577,-5.1525423728813555,14.372881355932204,12.152941401654806,0.4442294229245294,67,59,8
GDN0012,HoldingBreath,132.125,133.42857142857142,-1.1428571428571428,13.079365079365079,12.563104927296274,0.450076087037272,64,63,1
GDN0012,TiltUp,151.0843373493976,152.25925925925927,-1.0,12.62962962962963,8.34551083563031,0.35570525035399775,83,54,29
GDN0012,TiltLevel,114.02777777777777,126.90140845070422,-12.507042253521126,16.338028169014084,15.734864460088525,0.14607503052460805,72,71,1
GDN0013,Pause,147.84848484848484,76.78125,70.6875,74.875,50.41958604841758,-0.042537019825822066,66,64,2
GDN0013,Valsalva,148.4923076923077,66.5079365079365,82.34920634920636,86.73015873015873,58.005095713707206,-0.04043833668860192,65,63,2
GDN0013,HoldingBreath,141.61290322580646,79.76271186440678,61.49152542372882,64.0,44.50626714903171,0.1681848070459117,62,59,3
GDN0013,TiltUp,147.275,154.86075949367088,-7.670886075949367,8.632911392405063,6.133564618982944,0.3390954223266158,80,79,1
