,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_peak_sample,q_peak_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,heart_rate_bpm,heart_rate_bpm,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,phase,,,,,,,,,,,,,,,,,,,,,,,,
GDN0005,Pause,0,0,0,352,352,808,808,496,491,600,578,912.0,912.0,65.78947368421052,65.78947368421052,104,87,208.0,174.0,,,-34.0,34.0,19.54022988505747
GDN0005,Pause,1,1,1,808,808,1252,1252,952,948,1031,1026,874.0,874.0,68.64988558352402,68.64988558352402,79,78,158.0,156.0,,,-2.0,2.0,1.282051282051282
GDN0005,Pause,2,2,2,1252,1252,1686,1686,1389,1385,1462,1457,864.0,864.0,69.44444444444444,69.44444444444444,73,72,146.0,144.0,,,-2.0,2.0,1.3888888888888888
GDN0005,Pause,3,3,3,1686,1686,2116,2115,1821,1819,1899,1890,858.0,858.0,69.93006993006993,69.93006993006993,78,71,156.0,142.0,,,-14.0,14.0,9.859154929577464
GDN0005,Pause,4,4,4,2116,2115,2570,2570,2250,2247,2294,2290,936.0,936.0,64.1025641025641,64.1025641025641,44,43,88.0,86.0,,,-2.0,2.0,2.3255813953488373
GDN0005,Pause,5,5,5,2570,2570,3036,3036,2718,2715,2778,2775,928.0,928.0,64.6551724137931,64.6551724137931,60,60,120.0,120.0,,,0.0,0.0,0.0
GDN0005,Pause,6,6,6,3036,3036,3471,3471,3182,3178,3261,3257,840.0,840.0,71.42857142857143,71.42857142857143,79,79,158.0,158.0,,,0.0,0.0,0.0
GDN0005,Pause,7,7,7,3471,3471,3890,3890,3602,3596,3675,3676,836.0,836.0,71.77033492822967,71.77033492822967,73,80,146.0,160.0,,,14.0,14.0,8.75
GDN0005,Pause,8,8,8,3890,3890,4308,4308,4020,4015,4054,4093,838.0,838.0,71.59904534606206,71.59904534606206,34,78,68.0,156.0,,,88.0,88.0,56.41025641025641
GDN0005,Pause,9,9,9,4308,4308,4730,4730,4439,4437,4482,4512,846.0,846.0,70.92198581560284,70.92198581560284,43,75,86.0,150.0,,,64.0,64.0,42.66666666666667
GDN0005,Pause,10,10,10,4730,4730,5150,5150,4862,4858,4917,4915,838.0,838.0,71.59904534606206,71.59904534606206,55,57,110.0,114.0,,,4.0,4.0,3.508771929824561
GDN0005,Pause,11,11,11,5150,5150,5571,5571,5281,5279,5337,5337,842.0,842.0,71.25890736342043,71.25890736342043,56,58,112.0,116.0,,,4.0,4.0,3.4482758620689653
GDN0005,Pause,13,13,13,6013,6013,6480,6480,6156,6151,6227,6223,948.0,948.0,63.29113924050633,63.29113924050633,71,72,142.0,144.0,,,2.0,2.0,1.3888888888888888
GDN0005,Pause,14,14,14,6480,6480,6954,6954,6630,6627,6678,6682,948.0,948.0,63.29113924050633,63.29113924050633,48,55,96.0,110.0,,,14.0,14.0,12.727272727272727
GDN0005,Pause,15,15,15,6954,6954,7416,7416,7104,7100,7142,7145,912.0,912.0,65.78947368421052,65.78947368421052,38,45,76.0,90.0,,,14.0,14.0,15.555555555555555
GDN0005,Pause,16,16,16,7416,7416,7852,7852,7560,7555,7606,7610,850.0,850.0,70.58823529411765,70.58823529411765,46,55,92.0,110.0,,,18.0,18.0,16.363636363636363
GDN0005,Pause,17,17,17,7852,7852,8262,8262,7985,7981,8040,8040,804.0,804.0,74.62686567164178,74.62686567164178,55,59,110.0,118.0,,,8.0,8.0,6.779661016949152
GDN0005,Pause,18,18,18,8262,8262,8657,8657,8387,8384,8446,8447,782.0,782.0,76.72634271099744,76.72634271099744,59,63,118.0,126.0,,,8.0,8.0,6.349206349206349
GDN0005,Pause,19,19,19,8657,8657,9047,9047,8778,8773,8803,8818,778.0,778.0,77.12082262210797,77.12082262210797,25,45,50.0,90.0,,,40.0,40.0,44.44444444444444
GDN0005,Pause,20,20,20,9047,9047,9445,9445,9167,9163,9200,9205,806.0,806.0,74.44168734491315,74.44168734491315,33,42,66.0,84.0,,,18.0,18.0,21.428571428571427
GDN0005,Pause,21,21,21,9445,9445,9854,9854,9570,9566,9645,9643,824.0,824.0,72.81553398058253,72.81553398058253,75,77,150.0,154.0,,,4.0,4.0,2.5974025974025974
GDN0005,Pause,22,22,22,9854,9854,10259,10259,9982,9978,10062,10060,804.0,804.0,74.62686567164178,74.62686567164178,80,82,160.0,164.0,,,4.0,4.0,2.4390243902439024
GDN0005,Pause,23,23,23,10259,10259,10683,10683,10384,10381,10462,10459,872.0,872.0,68.80733944954129,68.80733944954129,78,78,156.0,156.0,,,0.0,0.0,0.0
GDN0005,Pause,24,24,24,10683,10683,11132,11132,10820,10816,10894,10878,912.0,912.0,65.78947368421052,65.78947368421052,74,62,148.0,124.0,,,-24.0,24.0,19.35483870967742
GDN0005,Pause,25,25,25,11132,11132,11590,11590,11276,11272,11347,11339,916.0,916.0,65.50218340611353,65.50218340611353,71,67,142.0,134.0,,,-8.0,8.0,5.970149253731343
GDN0005,Pause,26,26,26,11590,11590,12042,12042,11734,11730,11791,11795,900.0,900.0,66.66666666666667,66.66666666666667,57,65,114.0,130.0,,,16.0,16.0,12.307692307692308
GDN0005,Pause,27,27,27,12042,12042,12515,12515,12184,12181,12246,12250,968.0,968.0,61.98347107438017,61.98347107438017,62,69,124.0,138.0,,,14.0,14.0,10.144927536231885
GDN0005,Pause,28,28,28,12515,12515,13015,13015,12668,12666,12742,12738,1018.0,1018.0,58.93909626719057,58.93909626719057,74,72,148.0,144.0,,,-4.0,4.0,2.7777777777777777
GDN0005,Pause,29,29,29,13015,13015,13517,13517,13177,13174,13241,13241,996.0,996.0,60.24096385542169,60.24096385542169,64,67,128.0,134.0,,,6.0,6.0,4.477611940298507
GDN0005,Pause,30,30,30,13517,13517,14013,14013,13675,13671,13726,13728,990.0,990.0,60.60606060606061,60.60606060606061,51,57,102.0,114.0,,,12.0,12.0,10.526315789473683
GDN0005,Pause,31,31,31,14013,14013,14501,14501,14170,14166,14223,14234,968.0,968.0,61.98347107438017,61.98347107438017,53,68,106.0,136.0,,,30.0,30.0,22.058823529411764
GDN0005,Pause,32,32,32,14501,14501,14981,14981,14654,14651,14731,14725,958.0,958.0,62.63048016701462,62.63048016701462,77,74,154.0,148.0,,,-6.0,6.0,4.054054054054054
GDN0005,Pause,33,33,33,14981,14981,15460,15460,15133,15129,15184,15188,956.0,956.0,62.761506276150634,62.761506276150634,51,59,102.0,118.0,,,16.0,16.0,13.559322033898304
GDN0005,Pause,34,34,34,15460,15460,15925,15925,15611,15605,15665,15666,916.0,916.0,65.50218340611353,65.50218340611353,54,61,108.0,122.0,,,14.0,14.0,11.475409836065573
GDN0005,Pause,35,35,35,15925,15925,16379,16379,16069,16065,16120,16126,906.0,906.0,66.2251655629139,66.2251655629139,51,61,102.0,122.0,,,20.0,20.0,16.39344262295082
GDN0005,Pause,36,36,36,16379,16379,16836,16836,16522,16515,16587,16574,916.0,916.0,65.50218340611353,65.50218340611353,65,59,130.0,118.0,,,-12.0,12.0,10.16949152542373
GDN0005,Pause,37,37,37,16836,16836,17310,17310,16980,16977,17045,17050,966.0,966.0,62.11180124223603,62.11180124223603,65,73,130.0,146.0,,,16.0,16.0,10.95890410958904
GDN0005,Pause,38,38,38,17310,17310,17802,17802,17463,17459,17530,17537,994.0,994.0,60.36217303822938,60.36217303822938,67,78,134.0,156.0,,,22.0,22.0,14.102564102564102
GDN0005,Pause,39,39,39,17802,17802,18294,18294,17960,17957,18009,18012,980.0,980.0,61.224489795918366,61.224489795918366,49,55,98.0,110.0,,,12.0,12.0,10.909090909090908
GDN0005,Pause,40,40,40,18294,18294,18788,18788,18450,18445,18487,18520,992.0,992.0,60.483870967741936,60.483870967741936,37,75,74.0,150.0,,,76.0,76.0,50.66666666666667
GDN0005,Pause,41,41,41,18788,18788,19282,19282,18946,18941,19004,19008,986.0,986.0,60.851926977687626,60.851926977687626,58,67,116.0,134.0,,,18.0,18.0,13.432835820895523
