participant,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
GDN0005,Pause,133.16129032258064,122.45161290322581,10.709677419354838,17.161290322580644,12.669539710409165,0.4180673897684928,62,62,0
GDN0005,Valsalva,132.76190476190476,114.88888888888889,17.873015873015873,22.38095238095238,16.051523533481433,0.012018044588750325,63,63,0
GDN0005,HoldingBreath,128.47761194029852,125.61194029850746,2.8656716417910446,14.208955223880597,11.573351390828678,0.3933397799738874,67,67,0
GDN0005,TiltUp,161.82051282051282,150.51282051282053,11.307692307692308,27.0,16.654380632155885,0.3529270342109202,78,78,0
GDN0005,TiltLevel,116.63333333333334,104.23333333333333,12.4,32.53333333333333,33.78354731721745,0.08473251341865982,60,60,0
GDN0006,Pause,161.14814814814815,162.2962962962963,-1.1481481481481481,6.185185185185185,3.9674462589348654,0.48675982823382574,54,54,0
GDN0006,Valsalva,154.77777777777777,155.85185185185185,-1.0740740740740742,5.7407407407407405,3.9122231303983566,0.8238932543055686,54,54,0
GDN0006,TiltUp,189.75,191.59375,-1.84375,3.09375,1.7182010789941504,0.7419588286456983,64,64,0
GDN0006,TiltLevel,147.2,150.65454545454546,-3.4545454545454546,7.818181818181818,6.040207863316339,0.5681653830005972,55,55,0
GDN0007,Pause,129.03225806451613,83.38709677419355,45.645161290322584,55.645161290322584,39.22672245379596,-0.21166410243716724,62,62,0
GDN0007,Valsalva,135.17241379310346,83.55172413793103,51.62068965517241,66.93103448275862,47.92085886458443,0.06727842755503652,58,58,0
GDN0007,HoldingBreath,136.4,96.21818181818182,40.18181818181818,59.74545454545454,42.45220450733263,-0.2567784055949344,55,55,0
GDN0007,TiltUp,157.25714285714287,160.62857142857143,-3.3714285714285714,12.228571428571428,7.839359659413349,0.21294731403054104,70,70,0
GDN0007,TiltLevel,129.55172413793105,88.06896551724138,41.48275862068966,57.0,41.81770817728737,-0.06566338964508489,58,58,0
GDN0008,Pause,158.92857142857142,155.75,3.1785714285714284,8.035714285714286,5.113967934129391,0.43607908510585836,56,56,0
GDN0008,Valsalva,162.7719298245614,163.1578947368421,-0.38596491228070173,4.245614035087719,2.667262572363512,0.7597377923390922,57,57,0
GDN0008,HoldingBreath,174.85294117647058,163.1764705882353,2.0,9.529411764705882,5.775196065955346,0.565455055312564,68,17,51
GDN0008,TiltUp,184.97058823529412,180.8421052631579,1.263157894736842,12.701754385964913,6.851444207162153,0.6254672506909946,68,57,11
GDN0008,TiltLevel,172.92307692307693,169.3846153846154,3.5384615384615383,5.769230769230769,3.252935034570289,0.4901254173682649,52,52,0
GDN0009,Pause,145.60714285714286,142.35714285714286,-2.857142857142857,38.42857142857143,28.101904878507202,0.14011829744659138,56,28,28
GDN0009,Valsalva,142.03703703703704,117.02222222222223,23.022222222222222,46.75555555555555,32.81729277022786,0.05539201649413743,54,45,9
GDN0009,TiltUp,153.0,168.58333333333334,-24.333333333333332,34.333333333333336,25.432198201708857,0.028938286691449645,80,24,56
GDN0009,TiltLevel,147.28,136.8,8.133333333333333,35.733333333333334,25.177696031295188,0.28631091046453067,50,30,20
GDN0010,Pause,114.31818181818181,122.5,-8.181818181818182,15.0,14.006752008831647,0.524603452004161,44,44,0
GDN0010,HoldingBreath,113.27659574468085,119.11111111111111,-4.622222222222222,22.57777777777778,24.139273062284737,0.340069722044161,47,45,2
GDN0010,TiltUp,136.35555555555555,138.8,-2.4444444444444446,21.644444444444446,15.817309030358967,0.516471223424886,45,45,0
