,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_peak_sample,q_peak_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,heart_rate_bpm,heart_rate_bpm,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,phase,,,,,,,,,,,,,,,,,,,,,,,,
GDN0005,Pause,0,0,0,352,352,808,808,493,491,573,578,912.0,912.0,65.78947368421052,65.78947368421052,80,87,160.0,174.0,,,14.0,14.0,8.045977011494253
GDN0005,Pause,1,1,1,808,808,1252,1252,949,948,929,1026,874.0,874.0,68.64988558352402,68.64988558352402,,78,,156.0,negative_pep,,,,
GDN0005,Pause,2,2,2,1252,1252,1686,1686,1386,1385,1462,1457,864.0,864.0,69.44444444444444,69.44444444444444,76,72,152.0,144.0,,,-8.0,8.0,5.555555555555555
GDN0005,Pause,3,3,3,1686,1686,2116,2115,1818,1819,1899,1890,858.0,858.0,69.93006993006993,69.93006993006993,81,71,162.0,142.0,,,-20.0,20.0,14.084507042253522
GDN0005,Pause,4,4,4,2116,2115,2570,2570,2247,2247,2330,2290,936.0,936.0,64.1025641025641,64.1025641025641,83,43,166.0,86.0,,,-80.0,80.0,93.02325581395348
GDN0005,Pause,5,5,5,2570,2570,3036,3036,2715,2715,2790,2775,928.0,928.0,64.6551724137931,64.6551724137931,75,60,150.0,120.0,,,-30.0,30.0,25.0
GDN0005,Pause,6,6,6,3036,3036,3471,3471,3179,3178,3261,3257,840.0,840.0,71.42857142857143,71.42857142857143,82,79,164.0,158.0,,,-6.0,6.0,3.79746835443038
GDN0005,Pause,7,7,7,3471,3471,3890,3890,3599,3596,3681,3676,836.0,836.0,71.77033492822967,71.77033492822967,82,80,164.0,160.0,,,-4.0,4.0,2.5
GDN0005,Pause,8,8,8,3890,3890,4308,4308,4017,4015,4111,4093,838.0,838.0,71.59904534606206,71.59904534606206,94,78,188.0,156.0,,,-32.0,32.0,20.51282051282051
GDN0005,Pause,9,9,9,4308,4308,4730,4730,4436,4437,4525,4512,846.0,846.0,70.92198581560284,70.92198581560284,89,75,178.0,150.0,,,-28.0,28.0,18.666666666666668
GDN0005,Pause,10,10,10,4730,4730,5150,5150,4859,4858,4946,4915,838.0,838.0,71.59904534606206,71.59904534606206,87,57,174.0,114.0,,,-60.0,60.0,52.63157894736842
GDN0005,Pause,11,11,11,5150,5150,5571,5571,5278,5279,5360,5337,842.0,842.0,71.25890736342043,71.25890736342043,82,58,164.0,116.0,,,-48.0,48.0,41.37931034482759
GDN0005,Pause,13,13,13,6013,6013,6480,6480,6153,6151,6226,6223,948.0,948.0,63.29113924050633,63.29113924050633,73,72,146.0,144.0,,,-2.0,2.0,1.3888888888888888
GDN0005,Pause,14,14,14,6480,6480,6954,6954,6627,6627,6715,6682,948.0,948.0,63.29113924050633,63.29113924050633,88,55,176.0,110.0,,,-66.0,66.0,60.0
GDN0005,Pause,15,15,15,6954,6954,7416,7416,7101,7100,7189,7145,912.0,912.0,65.78947368421052,65.78947368421052,88,45,176.0,90.0,,,-86.0,86.0,95.55555555555556
GDN0005,Pause,16,16,16,7416,7416,7852,7852,7557,7555,7565,7610,850.0,850.0,70.58823529411765,70.58823529411765,8,55,16.0,110.0,,,94.0,94.0,85.45454545454545
GDN0005,Pause,17,17,17,7852,7852,8262,8262,7982,7981,8042,8040,804.0,804.0,74.62686567164178,74.62686567164178,60,59,120.0,118.0,,,-2.0,2.0,1.694915254237288
GDN0005,Pause,18,18,18,8262,8262,8657,8657,8384,8384,8378,8447,782.0,782.0,76.72634271099744,76.72634271099744,,63,,126.0,negative_pep,,,,
GDN0005,Pause,19,19,19,8657,8657,9047,9047,8775,8773,8850,8818,778.0,778.0,77.12082262210797,77.12082262210797,75,45,150.0,90.0,,,-60.0,60.0,66.66666666666666
GDN0005,Pause,20,20,20,9047,9047,9445,9445,9164,9163,9204,9205,806.0,806.0,74.44168734491315,74.44168734491315,40,42,80.0,84.0,,,4.0,4.0,4.761904761904762
GDN0005,Pause,21,21,21,9445,9445,9854,9854,9567,9566,9644,9643,824.0,824.0,72.81553398058253,72.81553398058253,77,77,154.0,154.0,,,0.0,0.0,0.0
GDN0005,Pause,22,22,22,9854,9854,10259,10259,9979,9978,10062,10060,804.0,804.0,74.62686567164178,74.62686567164178,83,82,166.0,164.0,,,-2.0,2.0,1.2195121951219512
GDN0005,Pause,23,23,23,10259,10259,10683,10683,10381,10381,10461,10459,872.0,872.0,68.80733944954129,68.80733944954129,80,78,160.0,156.0,,,-4.0,4.0,2.564102564102564
GDN0005,Pause,24,24,24,10683,10683,11132,11132,10817,10816,10814,10878,912.0,912.0,65.78947368421052,65.78947368421052,,62,,124.0,negative_pep,,,,
GDN0005,Pause,25,25,25,11132,11132,11590,11590,11273,11272,11347,11339,916.0,916.0,65.50218340611353,65.50218340611353,74,67,148.0,134.0,,,-14.0,14.0,10.44776119402985
GDN0005,Pause,26,26,26,11590,11590,12042,12042,11731,11730,11803,11795,900.0,900.0,66.66666666666667,66.66666666666667,72,65,144.0,130.0,,,-14.0,14.0,10.76923076923077
GDN0005,Pause,27,27,27,12042,12042,12515,12515,12181,12181,12265,12250,968.0,968.0,61.98347107438017,61.98347107438017,84,69,168.0,138.0,,,-30.0,30.0,21.73913043478261
GDN0005,Pause,28,28,28,12515,12515,13015,13015,12665,12666,12742,12738,1018.0,1018.0,58.93909626719057,58.93909626719057,77,72,154.0,144.0,,,-10.0,10.0,6.944444444444445
GDN0005,Pause,29,29,29,13015,13015,13517,13517,13174,13174,13252,13241,996.0,996.0,60.24096385542169,60.24096385542169,78,67,156.0,134.0,,,-22.0,22.0,16.417910447761194
GDN0005,Pause,30,30,30,13517,13517,14013,14013,13672,13671,13752,13728,990.0,990.0,60.60606060606061,60.60606060606061,80,57,160.0,114.0,,,-46.0,46.0,40.35087719298245
GDN0005,Pause,31,31,31,14013,14013,14501,14501,14167,14166,14203,14234,968.0,968.0,61.98347107438017,61.98347107438017,36,68,72.0,136.0,,,64.0,64.0,47.05882352941176
GDN0005,Pause,32,32,32,14501,14501,14981,14981,14651,14651,14731,14725,958.0,958.0,62.63048016701462,62.63048016701462,80,74,160.0,148.0,,,-12.0,12.0,8.108108108108109
GDN0005,Pause,33,33,33,14981,14981,15460,15460,15130,15129,15209,15188,956.0,956.0,62.761506276150634,62.761506276150634,79,59,158.0,118.0,,,-40.0,40.0,33.89830508474576
GDN0005,Pause,34,34,34,15460,15460,15925,15925,15608,15605,15687,15666,916.0,916.0,65.50218340611353,65.50218340611353,79,61,158.0,122.0,,,-36.0,36.0,29.508196721311474
GDN0005,Pause,35,35,35,15925,15925,16379,16379,16066,16065,16122,16126,906.0,906.0,66.2251655629139,66.2251655629139,56,61,112.0,122.0,,,10.0,10.0,8.19672131147541
GDN0005,Pause,36,36,36,16379,16379,16836,16836,16519,16515,16598,16574,916.0,916.0,65.50218340611353,65.50218340611353,79,59,158.0,118.0,,,-40.0,40.0,33.89830508474576
GDN0005,Pause,37,37,37,16836,16836,17310,17310,16977,16977,17060,17050,966.0,966.0,62.11180124223603,62.11180124223603,83,73,166.0,146.0,,,-20.0,20.0,13.698630136986301
GDN0005,Pause,38,38,38,17310,17310,17802,17802,17460,17459,17541,17537,994.0,994.0,60.36217303822938,60.36217303822938,81,78,162.0,156.0,,,-6.0,6.0,3.8461538461538463
GDN0005,Pause,39,39,39,17802,17802,18294,18294,17957,17957,18042,18012,980.0,980.0,61.224489795918366,61.224489795918366,85,55,170.0,110.0,,,-60.0,60.0,54.54545454545454
GDN0005,Pause,40,40,40,18294,18294,18788,18788,18447,18445,18528,18520,992.0,992.0,60.483870967741936,60.483870967741936,81,75,162.0,150.0,,,-12.0,12.0,8.0
GDN0005,Pause,41,41,41,18788,18788,19282,19282,18943,18941,18927,19008,986.0,986.0,60.851926977687626,60.851926977687626,,67,,134.0,negative_pep,,,,
GDN0005,Pause,42,42,42,19282,19282,19774,19774,19436,19436,19448,19515,980.0,980.0,61.224489795918366,61.224489795918366,12,79,24.0,158.0,,,134.0,134.0,84.81012658227847
