participant,phase,label_period,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
01,Baseline,0,144.4,131.2,13.2,13.2,9.059609144748462,0.4369236909434884,10,10,0
01,Baseline,1,144.8,132.0,12.8,12.8,8.784627174720054,0.7235359517703827,10,10,0
01,Baseline,2,142.4,133.2,9.2,9.2,6.422388775329951,0.32732683535398865,10,10,0
01,Baseline,3,142.4,130.0,12.4,12.4,8.66130416130416,-0.32703497008386434,10,10,0
01,CognitiveWorkload,0,139.2,126.8,12.4,12.4,8.85695359224771,0.2721655269759087,10,10,0
01,CognitiveWorkload,1,146.0,129.6,16.4,16.4,11.06769308007698,0.3571998131845466,10,10,0
01,CognitiveWorkload,2,149.6,130.0,19.6,19.6,12.98139630552981,0.24990240093323154,10,10,0
01,CognitiveWorkload,3,148.0,128.0,20.0,20.0,13.384642750496408,0.5163977794943223,10,10,0
02,Baseline,0,125.2,112.8,12.4,12.4,9.871639784946236,0.512147519731584,10,10,0
02,Baseline,1,126.4,114.0,12.4,12.4,9.68818046988236,0.3492151478847891,10,10,0
02,Baseline,2,122.8,110.4,12.4,12.4,9.981618886304648,-0.03711348095126023,10,10,0
02,Baseline,3,125.2,110.0,15.2,15.2,12.073758300468533,0.4975185951049946,10,10,0
02,CognitiveWorkload,0,118.4,109.6,8.8,9.6,7.930218303202176,0.43605142480035824,10,10,0
02,CognitiveWorkload,1,116.44444444444444,109.33333333333333,7.111111111111111,7.111111111111111,6.029009304871374,-0.24618298195866545,9,9,0
02,CognitiveWorkload,2,118.0,109.6,8.4,8.4,7.08128078817734,0.3042903097250923,10,10,0
02,CognitiveWorkload,3,118.4,110.4,8.0,8.0,6.714868372265481,0.12309149097933277,10,10,0
03,Baseline,0,127.6,110.8,16.8,16.8,13.001649560117304,-0.17604504134484428,10,10,0
03,Baseline,1,127.2,112.4,14.8,14.8,11.512811942959003,0.3445843938031585,10,10,0
03,Baseline,2,131.2,110.4,20.8,20.8,15.788931775056065,0.18463723646899913,10,10,0
03,Baseline,3,121.6,106.8,14.8,14.8,12.079071743977194,0.8314794192830982,10,10,0
03,CognitiveWorkload,0,137.2,118.4,18.8,18.8,13.52115527231626,0.2678945632789157,10,10,0
03,CognitiveWorkload,1,134.0,116.8,17.2,17.2,12.668677606177607,0.40908400943566137,10,10,0
03,CognitiveWorkload,2,128.4,117.2,11.2,11.2,8.534378927524088,0.31840450844372825,10,10,0
03,CognitiveWorkload,3,130.8,117.6,13.2,13.2,9.884614647422996,-0.510407292070936,10,10,0
04,Baseline,0,124.8,113.2,11.6,11.6,9.254704301075268,-0.12803687993289598,10,10,0
04,Baseline,1,124.4,112.0,12.4,12.4,9.696358146858703,0.8941887724455001,10,10,0
04,Baseline,2,128.8,114.4,14.4,14.4,10.048685399064366,0.9308688965454524,10,10,0
04,Baseline,3,125.2,114.8,10.4,10.4,8.036607817360942,0.4649760376510433,10,10,0
04,CognitiveWorkload,0,126.8,110.0,16.8,16.8,13.22886119257087,0.4685212856658182,10,10,0
04,CognitiveWorkload,1,123.2,110.8,12.4,12.4,9.997983870967742,0.10012523486435175,10,10,0
04,CognitiveWorkload,2,122.4,108.4,14.0,14.0,11.43010752688172,0.4082482904638629,10,10,0
04,CognitiveWorkload,3,122.4,108.4,14.0,14.0,11.379773822766037,0.07142857142857138,10,10,0
05,Baseline,0,104.0,106.4,-2.4,12.8,16.52439218178929,0.3692744729379982,10,10,0
05,Baseline,1,104.0,106.4,-2.4,20.0,22.122558055231785,0.8933552280789044,10,10,0
05,Baseline,2,112.4,107.2,5.2,12.4,12.501068104009281,0.6291816072218642,10,10,0
05,Baseline,3,110.0,104.0,6.0,10.8,10.423521358240489,0.9450516793170233,10,10,0
05,Baseline,4,126.4,109.6,16.8,16.8,13.030896009430165,0.5216505933704918,10,10,0
05,Baseline,5,124.0,112.0,12.0,12.0,9.379975571986302,0.7216878364870322,6,6,0
05,Baseline,6,104.8,106.4,-1.6,19.2,20.568560024205183,0.4855177032275236,5,5,0
05,Baseline,7,115.6,107.6,8.0,8.8,7.337162744559852,0.8843047135046234,10,10,0
06,Baseline,0,118.66666666666667,116.44444444444444,2.2222222222222223,4.888888888888889,4.174459962372457,0.13576884666042613,9,9,0
06,Baseline,1,109.6,115.6,-6.0,6.8,6.5450752950752955,0.027143764258299678,10,10,0
06,Baseline,2,117.2,117.2,0.0,4.0,3.416997722336988,-0.15617376188860607,10,10,0
06,Baseline,3,114.0,116.4,-2.4,3.2,2.8351578179164383,0.5423261445466403,10,10,0
06,CognitiveWorkload,0,121.6,115.2,6.4,6.4,5.219225064886912,0.7600065066233905,10,10,0
06,CognitiveWorkload,1,124.4,119.2,5.2,6.0,4.701979472140763,0.19412100558278306,10,10,0
06,CognitiveWorkload,2,122.4,116.8,5.6,8.8,7.29789833822092,0.5777466648897325,10,10,0
06,CognitiveWorkload,3,123.2,118.0,5.2,6.8,5.4174870828096635,0.13018891098082383,10,10,0
07,Baseline,0,98.2,100.0,-1.8,4.6,4.835189408015495,0.19300937626135234,20,20,0
07,Baseline,1,95.2,99.2,-4.0,4.0,4.388095238095238,0.08183170883849718,10,10,0
07,Baseline,2,90.8,100.0,-9.2,9.2,13.038888888888886,0.049483126656490226,10,10,0
07,CognitiveWorkload,0,90.22222222222223,99.55555555555556,-9.333333333333334,10.222222222222221,13.523771388221515,-0.9317360652178267,9,9,0
07,CognitiveWorkload,1,80.0,95.6,-15.6,15.6,24.415120038723483,-0.17376201171422898,10,10,0
07,CognitiveWorkload,2,85.2,93.6,-8.4,10.0,13.477275203819826,0.14079697633917956,10,10,0
07,CognitiveWorkload,3,82.0,91.6,-9.6,9.6,15.544280953488116,0.45963855977692164,10,10,0
08,Baseline,0,112.0,109.6,2.4,11.2,9.18279950933624,0.968713096101175,10,10,0
08,Baseline,1,107.6,108.8,-1.2,4.4,4.337093302610544,0.6246950475544242,10,10,0
08,Baseline,2,104.0,109.2,-5.2,10.0,10.30389667803461,-0.5672584756685631,10,10,0
08,Baseline,3,110.0,108.4,1.6,4.0,3.6362665431630945,0.4726379713460193,10,10,0
08,CognitiveWorkload,0,99.6,111.6,-12.0,12.0,12.481037802776934,-0.007004663155511655,10,10,0
08,CognitiveWorkload,1,98.0,111.6,-13.6,13.6,15.337973710480105,0.7099207897595377,10,10,0
08,CognitiveWorkload,2,96.4,112.8,-16.4,17.2,19.12348954209997,0.031567581587358555,10,10,0
08,CognitiveWorkload,3,98.0,112.4,-14.4,14.4,19.41362815928033,0.1327641592228417,10,10,0
