participant,phase,label_period,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
01,Baseline,0,144.4,144.8,-0.4,13.2,9.426686748668171,0.5841932975284696,10,10,0
01,Baseline,1,144.8,151.2,-6.4,7.2,5.0347530192731424,0.4576043153224294,10,10,0
01,Baseline,2,142.4,151.6,-9.2,9.2,6.478878037701567,0.41825095628565206,10,10,0
01,Baseline,3,142.4,151.6,-9.2,9.2,6.5004290004289995,-0.057759098225790735,10,10,0
01,CognitiveWorkload,0,139.2,143.2,-4.0,6.4,4.591894415423827,0.2769558547034986,10,10,0
01,CognitiveWorkload,1,146.0,146.66666666666666,-1.3333333333333333,3.111111111111111,2.192285164421387,0.6864064729836443,10,9,1
01,CognitiveWorkload,2,149.6,140.8,8.8,12.0,8.05536308360442,0.20399540088280596,10,10,0
01,CognitiveWorkload,3,148.0,133.2,14.8,15.6,10.709381184990939,0.4653009236232501,10,10,0
02,Baseline,0,125.2,134.0,-8.8,8.8,7.071236559139786,0.39702551050267754,10,10,0
02,Baseline,1,126.4,135.6,-9.2,9.2,7.371612397613509,0.711838583012524,10,10,0
02,Baseline,2,122.8,132.4,-9.6,9.6,7.91687523173897,0.3611575592573075,10,10,0
02,Baseline,3,125.2,130.8,-5.6,6.4,5.168158222941316,0.305837674037769,10,10,0
02,CognitiveWorkload,0,118.4,126.4,-8.0,8.0,6.821458111780691,0.8304124744289286,10,10,0
02,CognitiveWorkload,1,116.44444444444444,124.88888888888889,-8.444444444444445,8.444444444444445,7.324393358876118,-0.03656362120635655,9,9,0
02,CognitiveWorkload,2,118.0,127.2,-9.2,9.2,7.80623973727422,0.6839855680567694,10,10,0
02,CognitiveWorkload,3,118.4,122.4,-4.0,16.0,13.484241750092696,-0.13238520123274106,10,10,0
03,Baseline,0,127.6,113.2,14.4,15.2,11.716930247172183,-0.24923456260375276,10,10,0
03,Baseline,1,127.2,106.0,21.2,22.8,17.927027629233514,0.10892270387956778,10,10,0
03,Baseline,2,131.2,119.6,11.6,14.0,10.723147030073026,0.10138620714822218,10,10,0
03,Baseline,3,121.6,101.6,20.0,20.8,16.49014477365423,-0.5741039273131749,10,10,0
03,CognitiveWorkload,0,137.2,136.0,1.2,6.0,4.330714821813893,0.33745963248767824,10,10,0
03,CognitiveWorkload,1,134.0,112.8,21.2,22.8,16.951101263601267,0.10905102312104771,10,10,0
03,CognitiveWorkload,2,128.4,130.8,-2.4,4.8,3.788498463901689,0.6390907959107311,10,10,0
03,CognitiveWorkload,3,130.8,128.4,2.4,9.6,7.477191267513848,0.2833004822743995,10,10,0
04,Baseline,0,124.8,91.11111111111111,33.77777777777778,33.77777777777778,26.99970131421744,-0.08918825850158446,10,9,1
04,Baseline,1,124.4,88.0,37.333333333333336,37.333333333333336,29.768269613699722,0.35210735839617824,10,9,1
04,Baseline,2,128.8,95.11111111111111,33.77777777777778,33.77777777777778,27.607416295039066,0.981080024892362,10,9,1
04,Baseline,3,125.2,82.0,43.2,43.2,34.34423621809933,0.3715192519772578,10,10,0
04,CognitiveWorkload,0,126.8,81.33333333333333,45.333333333333336,45.333333333333336,35.673264907135874,-0.3380617018914067,10,9,1
04,CognitiveWorkload,1,123.2,86.8,36.4,38.0,30.754032258064512,-0.2037231112650041,10,10,0
04,CognitiveWorkload,2,122.4,104.44444444444444,17.77777777777778,21.333333333333332,17.729988052568697,0.8475148703721797,10,9,1
04,CognitiveWorkload,3,122.4,101.33333333333333,20.444444444444443,24.0,19.510155316606927,-0.30162152596078645,10,9,1
05,Baseline,0,104.0,66.5,46.5,46.5,40.947397291251576,-0.057738591139536936,10,8,2
05,Baseline,1,104.0,71.42857142857143,24.571428571428573,28.0,26.601846072017604,0.3313017579440607,10,7,3
05,Baseline,2,112.4,80.5,30.5,35.5,31.571642545907252,-0.6308671104414854,10,8,2
05,Baseline,3,110.0,80.44444444444444,29.333333333333332,29.333333333333332,26.221568285095664,0.5649390906166506,10,9,1
05,Baseline,4,126.4,73.14285714285714,52.0,52.0,40.910497059690606,-0.5917816171921468,10,7,3
05,Baseline,5,124.0,68.0,56.0,56.0,44.421030369878764,-0.765465544619743,6,6,0
05,Baseline,6,104.8,74.0,39.0,39.0,33.02818653121073,-0.017792017089454125,5,4,1
05,Baseline,7,115.6,71.2,44.4,44.4,38.17402860395074,0.27139570559592546,10,10,0
06,Baseline,0,118.66666666666667,97.77777777777777,20.88888888888889,28.88888888888889,24.37431622699204,0.2734124694865598,9,9,0
06,Baseline,1,109.6,98.4,11.2,16.8,15.2014652014652,0.24975631780756583,10,10,0
06,Baseline,2,117.2,97.6,19.6,22.8,19.803697229726147,0.7366975577382848,10,10,0
06,Baseline,3,114.0,107.6,6.4,14.4,12.745666849115123,0.3544342491367515,10,10,0
06,CognitiveWorkload,0,121.6,112.4,9.2,15.6,12.747404523544677,-0.1454462745627707,10,10,0
06,CognitiveWorkload,1,124.4,104.4,20.0,23.2,18.226250969090234,-0.5077404001904003,10,10,0
06,CognitiveWorkload,2,122.4,95.2,27.2,29.6,23.785519263828498,0.078063825576881,10,10,0
06,CognitiveWorkload,3,123.2,94.8,28.4,30.8,24.472594609691384,-0.3828417543230213,10,10,0
07,Baseline,0,98.2,97.8,0.4,13.6,14.136910633649766,0.0768421222224934,20,20,0
07,Baseline,1,95.2,101.6,-6.4,7.2,7.704761904761905,0.23814483610392007,10,10,0
07,Baseline,2,90.8,96.4,-5.6,12.8,15.488888888888889,0.3639052099966819,10,10,0
07,CognitiveWorkload,0,90.22222222222223,78.22222222222223,12.0,12.88888888888889,14.066711445228071,0.3540290910465149,9,9,0
07,CognitiveWorkload,1,80.0,76.8,3.2,11.2,14.28669859178676,0.41624679084323307,10,10,0
07,CognitiveWorkload,2,85.2,80.0,5.2,8.4,9.570418140212192,0.6074722521972133,10,10,0
07,CognitiveWorkload,3,82.0,77.2,4.8,9.6,12.107621704808405,0.5514170236546672,10,10,0
08,Baseline,0,112.0,100.4,11.6,18.0,13.579911054573724,0.029533419078555348,10,10,0
08,Baseline,1,107.6,105.2,2.4,9.6,9.126579040372144,-0.1908790423082963,10,10,0
08,Baseline,2,104.0,104.0,0.0,11.2,10.916224580017683,-0.3410955201203232,10,10,0
08,Baseline,3,110.0,106.0,4.0,9.6,8.842819249715802,0.39051203554945185,10,10,0
08,CognitiveWorkload,0,99.6,115.11111111111111,-16.0,16.88888888888889,17.84614759010894,-0.7888458667576581,10,9,1
08,CognitiveWorkload,1,98.0,115.11111111111111,-17.77777777777778,18.666666666666668,19.634487264495785,0.6553096499805009,10,9,1
08,CognitiveWorkload,2,96.4,103.6,-7.2,24.0,25.134002171846408,-0.6947017846071339,10,10,0
08,CognitiveWorkload,3,98.0,108.44444444444444,-9.333333333333334,16.444444444444443,21.166669649844728,0.2494974427028613,10,9,1
09,Baseline,0,116.4,93.33333333333333,23.555555555555557,23.555555555555557,20.138337129438355,0.27378544840951163,10,9,1
09,Baseline,1,114.8,92.0,22.8,22.8,19.793803814938407,0.32642136519517234,10,10,0
09,Baseline,2,106.8,98.4,8.4,13.2,12.351738813133116,0.19519582909713337,10,10,0
09,Baseline,3,117.2,87.55555555555556,29.77777777777778,29.77777777777778,25.023437106615948,-0.2526283766755543,10,9,1
09,CognitiveWorkload,0,127.2,74.8,52.4,52.4,41.07227517106549,-0.0741130010167336,10,10,0
